forecast_period,forecast_bias,mae,mse,rmse,mape,mase
0.0,0.1332801213810359,3.3934499072893507,22.57804150005005,4.751635665752379,0.01405956755140004,inf
6.0,0.10381837637226882,3.4351889663200157,22.94341855392361,4.789928867313544,0.014193303855316692,2.928485915342246
12.0,0.08198483926346625,3.4090711913012726,22.2144503522086,4.71322080452514,0.014057122757143999,2.035052033114326
18.0,-0.09519759568509796,3.3101249597830376,20.8507535733565,4.5662625388118565,0.013673738370101465,1.648670275596007
24.0,-0.2764130323106554,3.2473740694220616,20.075467533872263,4.480565537281233,0.013464671263660539,1.4814083465463912
30.0,-0.393622911908778,3.3680619112074517,21.425416888484285,4.628759757049861,0.013935522162428373,1.336991500902778
36.0,-0.44912631200380465,3.474817766072507,22.753737749673668,4.770087813622897,0.014347857076329478,1.268550898192935
42.0,-0.5661855671444898,3.5028195388657193,23.613226526992968,4.859344248660817,0.01448076366324353,1.2250997104373964
48.0,-0.6668616491018556,3.5133811388513325,24.49811309312466,4.949556858257581,0.01456059248759818,1.2182876151731872
54.0,-0.730693300384396,3.7638429049989544,27.921239293488473,5.284055194023665,0.015601535523814412,1.2236131196991127
60.0,-0.6817609832905261,4.037411585811976,31.6572892082741,5.626481067974378,0.016716028800174063,1.2603781283596365
66.0,-0.6631578129791795,4.203588355002612,34.77878437807603,5.897354014986385,0.017442619428180022,1.3191309325645157
72.0,-0.6576559141071149,4.427396692638072,39.952302082183536,6.320783344031303,0.01842561728395327,1.4311325747155101
78.0,-0.6118319986647226,4.826912997412335,48.92313783163332,6.994507690440645,0.020090057012040384,1.5054385053770507
84.0,-0.4880215338306337,5.16317895820783,57.99635649232507,7.615533894109136,0.02147259248720319,1.5739174656433992
90.0,-0.3817002628944438,5.416350985201752,67.19382621013052,8.197184041494404,0.02256522747466712,1.6693888579488312
96.0,-0.24681105515038584,5.671396651894412,77.75412356462269,8.817829867071755,0.023698902805291286,1.7765223770476148
102.0,-0.014008954276559632,6.088564910731792,92.01690137163624,9.592544051065715,0.025457307436516374,1.884857172475338
108.0,0.2934619236478417,6.510484702140454,108.79155313327955,10.430318937275098,0.02722744727635638,1.9630692284134166
114.0,0.5764123643325582,6.9168491234495715,129.04279290493736,11.359700387991637,0.028951445564765282,2.0985518015875946
120.0,0.8278181232454851,7.321451186539736,153.12374099505533,12.374317799178076,0.03068618394589231,2.240836981994079
