forecast_period,forecast_bias,mae,mse,rmse,mape,mase
0.0,0.1518606512588907,3.2898305359620315,20.454177539772942,4.5226294939750415,0.01363607059053267,inf
6.0,0.23217742888442683,3.3573514143090732,21.240841114058146,4.608778700920467,0.013889846452194196,2.8670585271046805
12.0,0.1624581477136884,3.2306133412816656,19.703214150526783,4.438830268271899,0.01339587996737343,1.9602755283524838
18.0,0.024193595544673343,3.154015353433302,19.255502446009775,4.38810921081162,0.013093668242442097,1.68432124164034
24.0,-0.13125513099999495,3.3270442548972468,22.010292531884026,4.691512819111126,0.013768981914842033,1.6250740640623536
30.0,-0.2936322977089459,3.463170274993662,24.990095387089454,4.999009440588151,0.014339606012611956,1.4140689597546021
36.0,-0.594371567370052,3.5630821806832147,28.9524309243599,5.380746316670198,0.014786660615076832,1.285766808460872
42.0,-0.8699273187714573,3.7656840926503636,34.99921980874238,5.916013844536064,0.01569001362145629,1.2947733546936848
48.0,-1.0635522449859778,4.128838394930983,43.19364594937804,6.572187303278722,0.017196740147754387,1.4041551839603745
54.0,-1.2026045104444356,4.476505676096252,52.43927148874726,7.241496495113925,0.018657998127302334,1.4252101149453793
60.0,-1.4321101366043691,4.820512857351498,63.33011654521031,7.9580221503342345,0.020128534765306905,1.4550568734270177
66.0,-1.6793707695867346,5.173870654980366,76.57005199108336,8.7504315317065,0.02164001972052831,1.56050662364864
72.0,-1.911620560219524,5.7672213602842275,97.49309515949176,9.873859182684942,0.02411138956440277,1.7637700483936374
78.0,-2.0344920488174583,6.324013306553208,122.38550267678212,11.062798139565873,0.02642567707458672,1.876122902630307
84.0,-2.182409197962,6.792533784328751,147.02547397771687,12.125406136609069,0.028398668966658373,1.9657207131394216
90.0,-2.348987937106944,7.251470791526946,171.85730035914276,13.109435546931177,0.03031324602414152,2.143362305552148
96.0,-2.5082172505398086,7.805040259326551,198.96530981067488,14.105506364915614,0.03257240462841875,2.36186459800565
102.0,-2.6526219602909675,8.251435511946404,224.7560836522889,14.991867250355737,0.03437459948031774,2.428180601605418
108.0,-2.8947616203141973,8.724573732002014,257.40344292973117,16.043797646745958,0.036338878294228015,2.5219536380447374
114.0,-3.184439171715312,9.248691772202644,295.8891541257686,17.201428839656565,0.03853763991307406,2.699346345309555
120.0,-3.4312200477890236,9.833991007600043,337.8691797783075,18.381218125529863,0.040952132314657864,2.9545477913252296
