forecast_period,forecast_bias,mae,mse,rmse,mape,mase
0.0,6.800771574991929,128.62659682543296,41515.2570943371,203.75293149875685,0.41161937809262855,inf
6.0,12.814017911010843,124.2766494466669,38939.66529646494,197.33135913094233,0.09993244934987304,4.857038670483958
12.0,16.217223609906537,124.3545438540195,38921.6297709962,197.2856552590588,0.12828659227334469,3.231830037713483
18.0,21.190467165678772,125.14324090822419,40140.52444930158,200.3510031152866,0.1372886722211694,2.4339695661805356
24.0,23.206177953998424,128.607717785291,40975.411709131375,202.4238417507468,0.09708648798008089,2.1315513111646887
30.0,27.439684896850416,127.97610961165094,39653.73539495121,199.13245690984485,0.2351050349779016,1.7784458927217393
36.0,27.768355099624635,128.0542592521855,38611.043759107524,196.49693066078035,0.11663075784735946,1.5932853164813852
42.0,29.250479798174485,126.59394005974924,38485.90559225603,196.1782495391781,0.12554644739450155,1.4724098595441417
48.0,26.924090322969874,128.19841151934116,38023.80349574055,194.99693201622568,0.13757802789139179,1.4346136201885706
54.0,25.443374914552,123.88282970220934,35355.93018726088,188.031726544381,0.1022381127841174,1.3263963056781873
60.0,20.8116814129279,119.45686488856839,32581.263693629335,180.5028079937521,0.13753582309345777,1.2987051030890384
66.0,18.25753936661528,116.46280147240425,31567.88982889752,177.67354847837515,0.11389824434543433,1.2516300617514042
72.0,13.465200722212083,116.49207649855093,31115.589745269925,176.39611601526244,0.1905118840250844,1.2856530401379407
78.0,12.762619535760866,116.0419669479049,30188.08560803223,173.74718877735037,0.16762661542333893,1.211465806221145
84.0,9.447927591312856,112.97847670331792,28704.88201139379,169.4251516493162,0.1473863434124461,1.1920755408048953
90.0,10.051807065782135,109.6923639521699,27700.87828952466,166.43580831517195,0.13196321879175707,1.1697274605276813
96.0,8.433625641576631,109.1344590651268,27282.002551607216,165.17264468309278,0.1805549303146372,1.192739656957924
102.0,11.282960632467733,109.54540080513519,27482.222308196517,165.77762909450877,0.09378388351317775,1.11293065334803
108.0,10.262490269576931,108.8191186414053,27321.623534649872,165.2925392588845,0.14875456074694432,1.076245247374298
114.0,12.782292276844695,105.68620466216122,26698.02752007907,163.39531058166594,0.15770251600165353,1.051158806406844
120.0,11.933201404779581,106.47720170583281,26346.718942979485,162.3167241629139,0.08360531306333163,1.084256962309732
