forecast_period,forecast_bias,mae,mse,rmse,mape,mase
0.0,-4.422305399212227,111.19468359277772,29023.941192342598,170.36414291846333,0.09178229050741421,inf
6.0,-3.399159868035601,103.6639338595661,25299.783356187003,159.05905619041943,0.10232226970222942,4.395123303960554
12.0,-6.863620158395537,101.89894352885146,23182.345073444645,152.2574959515775,0.07558836782801762,2.9519521736004957
18.0,-7.319635161091543,98.13828189053709,21927.282820877084,148.078637287345,0.09058836657631181,2.096457950192726
24.0,-9.022359716812938,99.45252728519772,21505.30673197017,146.64687767549015,0.1086308709979529,1.875126686239886
30.0,-6.2416784706258674,93.16875368297067,19320.539166053164,138.99834231404762,0.07760492994529124,1.3801080920012516
36.0,-6.989469135393025,90.68358241751264,17525.738087161306,132.38481063611982,0.11981338857306842,1.2033243692609792
42.0,-4.543829356707649,88.01240736887289,17424.473369737378,132.00179305500882,0.10738839021369238,1.0300405043154994
48.0,-3.2352775895634935,91.24501961782703,18231.692533195983,135.02478488483507,0.2060253765695988,1.055426344477489
54.0,2.7699383544342733,88.70229093431375,17434.748999331438,132.04070962900585,0.08586237605353812,0.9144076726906442
60.0,6.173144053284729,89.61489221266957,17161.000684477065,131.00000261250784,0.10438593312558979,0.8861868301411535
66.0,11.146387608983424,91.49512855276741,17874.93068432891,133.6971603450459,0.1854399542592034,0.8597849957755141
72.0,13.162098397194846,97.45098072188966,18992.506715030326,137.81330383903554,0.12559962164345206,0.9176758399155134
78.0,17.39560534005508,92.6834398627461,17393.909530778612,131.88597169820076,0.17700547950933745,0.8235423736126599
84.0,17.724275542746426,90.86562145964751,16172.218034094469,127.17003591292435,0.08965748774958529,0.7882978982946824
90.0,19.20640024094633,86.88805584109953,15701.691491832851,125.30639046685867,0.0850814148952528,0.7404505799878892
96.0,16.880010765553187,86.46513464854442,15173.79354203191,123.18195298838182,0.16215286976035223,0.7590109071439516
102.0,15.399295356923297,74.13709119078389,11650.461489450621,107.93730351204175,0.06640312835136832,0.6355846150366736
108.0,10.767601855164358,63.129498764567906,8077.496188553768,89.87489186949695,0.07937613719868862,0.5588001096394096
114.0,8.21345980848049,51.80453233068275,6031.228875946327,77.66098683345665,0.06845747071257845,0.45750768194169955
120.0,3.421121164255848,47.454012309002444,4843.3111991887545,69.59390202588698,0.07365679052712232,0.4414116425046167
