forecast_period,forecast_bias,mae,mse,rmse,mape,mase
0.0,0.25680979277123617,3.5079693482426517,23.3183607967503,4.8289088619221525,0.014510422302499654,inf
6.0,0.12416816188755413,3.38442253310141,21.70716830185033,4.659095223522517,0.01402159665999396,2.802115063100535
12.0,-0.004998920570482391,3.3597277132275982,21.09972811660505,4.59344403651607,0.01396557483572363,1.9707891627955063
18.0,-0.08598189198627398,3.4195153591747767,22.01738395288411,4.692268529494461,0.014191224097719888,1.7536476445601863
24.0,-0.14191263495342027,3.480412321721535,23.36399771207889,4.833631938002612,0.014399749541497454,1.6414313573543002
30.0,-0.3042370785494018,3.5715484739073617,25.806794143246336,5.080038793478485,0.014779679451509771,1.4199204472059153
36.0,-0.4878562876342332,3.6184382354761917,27.612743060837406,5.254782874756806,0.014995993929869755,1.3181451621180795
42.0,-0.6554564164664014,3.8035121491852735,31.149293711588303,5.581155230916652,0.0157662602986327,1.3450513126555674
48.0,-0.714463757663236,3.9678682929168465,34.61702041094954,5.883623068394979,0.01643025589471197,1.3912969581712487
54.0,-0.7994261753421984,4.129818729335851,36.83897729797157,6.069512113668739,0.017101399781959497,1.3611186810419358
60.0,-0.8942895786364996,4.233690620293577,38.469236071674004,6.202357299581668,0.017562175862599522,1.3625927178974964
66.0,-0.951946142670125,4.454900260591829,42.21006959825969,6.496927704558494,0.018476054227655615,1.4236571215391958
72.0,-0.9394903554970466,4.644222847849026,46.442331462026516,6.81486107430126,0.01922002176358103,1.5142520114003755
78.0,-0.9518048700472058,4.792475801199956,50.78347209854955,7.126252317912239,0.019846829619328814,1.54525686684742
84.0,-0.9385443407309025,4.950903427699071,56.85010134609933,7.539900619112916,0.020564183978902147,1.5799157026388635
90.0,-0.8279630812002419,5.1625651530481145,63.98913867509489,7.999321138390113,0.02147946405530511,1.678682583552953
96.0,-0.6478841270453009,5.391524705781022,72.20761533366054,8.497506418571305,0.02244862197211593,1.7752793474948596
102.0,-0.509444168731204,5.589385904580739,80.78724737981561,8.988172638518666,0.023318560217240145,1.764610651217181
108.0,-0.4335627541505376,5.764752666741589,90.48379100763051,9.512296831345756,0.024112605549940047,1.7630193141881731
114.0,-0.2977041912009225,5.9850978660559075,101.30842195706367,10.065208490491575,0.02505703420186508,1.8357784604779628
120.0,-0.013638532479546418,6.24008701621592,112.23962253315113,10.594320295948728,0.026105788994623173,1.9587890298286568
