forecast_period,forecast_bias,mae,mse,rmse,mape,mase
0.0,0.15596009369932792,6.688049682197413,79.69948854346684,8.927457003170995,inf,inf
6.0,-0.15784755999407096,6.167319306984705,67.4763301450915,8.214397734775904,inf,4.343305553909331
12.0,-0.008182981053490667,6.015590726245993,64.39218397481865,8.024474062193649,2.641493403327013,2.8076871215367127
18.0,-0.111742145650512,5.889157982561219,61.83560262372889,7.863561700891581,inf,2.0574020060476097
24.0,-0.1448620459554391,5.847982699397135,61.11727110772584,7.817753584484858,inf,1.7616373834329087
30.0,-0.495803138946843,5.752725354777957,58.92168992489326,7.676046503565052,2.9576853692022635,1.438333825937708
36.0,-0.586476694130995,5.601792728717135,56.089916586208616,7.489320168493841,1026012656.6833338,1.2349426175154048
42.0,-0.9215454093272545,5.5273234024427635,54.43084537604167,7.377726301242251,inf,1.108094687990833
48.0,-1.0077097083329531,5.50697518724032,54.174765309717856,7.360350895828123,inf,1.0592738628586853
54.0,-1.2588191219262324,5.498477377316252,53.293009702604955,7.300206141103479,inf,0.9786767289035847
60.0,-1.239372845836728,5.4928095595881015,52.77420865541957,7.264585924567179,inf,0.9331887076130512
66.0,-1.3670293955022739,5.494189799084612,52.59132128954905,7.2519874027434055,2.7293216440994033,0.9054536748357619
72.0,-1.1276895931102644,5.528240285804513,53.34324931731044,7.303646302862046,inf,0.9226445821778143
78.0,-0.9532580099487638,5.403431174582338,51.497923386851014,7.176205361251238,3987808740.7507787,0.8937222386339568
84.0,-0.49567268933051184,5.28761461108994,50.46674088300994,7.103994713047719,3.7842762722096825,0.8823471329374014
90.0,-0.37041298060989064,5.232505662180617,49.232659928637396,7.016598886115508,inf,0.8721415928245329
96.0,-0.01211242134281708,5.4006343414194795,52.18786415287689,7.224116842415888,inf,0.9217163584602301
102.0,0.008398915074799689,5.506541800968879,53.42712423900322,7.309386037076111,inf,0.9340577249824342
108.0,0.2921245054206355,5.5806642305700676,54.974732111061336,7.414494730665154,inf,0.9445854598236488
114.0,0.1150090792249349,5.550942615166815,53.59214252568036,7.32066544281873,inf,0.939319630125914
120.0,0.17767586097624524,5.54547700075685,53.02749697046319,7.2819981440853985,inf,0.942507984549414
