forecast_period,forecast_bias,mae,mse,rmse,mape,mase
0.0,-0.18625826567085915,6.842093618163412,83.27413291304038,9.125466175108008,inf,inf
6.0,-0.33695445275566716,6.749267041189391,80.13228422717842,8.951663768662137,inf,4.7499484763015
12.0,-0.6878955457479374,6.825887512398792,81.04636988747212,9.002575736280818,3.040482888484195,3.0573002004425303
18.0,-0.778569100931323,6.818331095142416,81.00642245347687,9.000356795898531,856627448.6427566,2.3412618058514085
24.0,-1.113637816127261,6.884859712080285,83.19589645823689,9.121178457756262,inf,1.9881370056727425
30.0,-1.1998021151304226,6.931246399355662,85.12156748732099,9.226135024338252,inf,1.6809979204974523
36.0,-1.4509115287188932,6.963515908893609,84.82628889985124,9.210118832015754,inf,1.4870063906526232
42.0,-1.4314652526274034,6.881906923465323,82.84404222244328,9.101870259591887,inf,1.3608060975017522
48.0,-1.5591218022926963,6.843655803631284,82.21563193519685,9.06728360288774,3.111685514625185,1.2884340426846255
54.0,-1.3197819998997113,6.769380165126681,80.50196839534463,8.972288916176554,inf,1.2279292208238979
60.0,-1.1453504167380928,6.536758044063256,73.82686041581165,8.59225583975545,2260908943.389297,1.1783610700318397
66.0,-0.6877650961055631,6.296435144408519,68.24988529988937,8.26134887895974,4.47359305227881,1.1379969972419448
72.0,-0.5625053873829623,6.134276264242945,65.68101125477494,8.104382225362704,inf,1.1051423958703344
78.0,-0.2042048281170011,6.12930423856094,65.65524184505911,8.10279222521836,inf,1.0840192517373468
84.0,-0.18369349169443674,6.049546185501343,63.59644827444346,7.974738132029381,inf,1.0637927701000742
90.0,0.10003209866196776,5.989807823271678,61.74173058387541,7.857590634785921,inf,1.052034517072317
96.0,-0.07708332753483539,5.906891826079389,59.99090778533423,7.745379770245887,inf,1.056263242221139
102.0,-0.014416545783345645,5.925055631103846,59.45805235896164,7.7109047691539825,inf,1.0423097842281248
108.0,-0.28480655542704325,5.875265434143486,59.29971599270309,7.700630882772079,3.3270139487110484,1.0050429692108669
114.0,-0.2396839180107915,5.84575075122486,59.00271032626024,7.6813221730546,86272332282.894,0.9802787725438135
120.0,-0.5497918391804653,5.797688098625852,58.27989698567316,7.634127126638196,5377732499.456503,0.9822511502042203
