forecast_period,forecast_bias,mae,mse,rmse,mape,mase
0.0,0.2571243035188931,3.532230884313168,23.655173564594204,4.863658454763677,0.014591693830949404,inf
6.0,0.12293759407744609,3.4097515523657678,22.05066921749745,4.695814010104899,0.014106785773325674,2.8256252708214125
12.0,-0.0049142119874369524,3.386507460560333,21.45588652836865,4.632049927231857,0.01405604650432012,1.9820836258638463
18.0,-0.0851423494294848,3.4464405218598286,22.37549255149407,4.730274046130316,0.01428262275306255,1.759159915079907
24.0,-0.14119695680987251,3.508591779488341,23.75154162414809,4.8735553371381855,0.014495364266940095,1.6432609882667333
30.0,-0.3067736503571717,3.6018638319646445,26.212621869325346,5.119826351481596,0.014883396637941566,1.4237173372911593
36.0,-0.489902204041162,3.6504195118475087,28.05071806652853,5.2962928607214055,0.015105578391049788,1.320925030225099
42.0,-0.6616627743994824,3.829862691872561,31.572615364846964,5.618951447098201,0.01585722193131604,1.3449413150535448
48.0,-0.7226854511214307,3.9936237855896914,35.04070095792919,5.919518642417573,0.016518768072126034,1.3895954563319566
54.0,-0.8081176126383098,4.1567125535325955,37.3050533762726,6.1077862909791305,0.017193309290677406,1.3597483843771587
60.0,-0.9043026262201644,4.2620444169142,38.957244535702124,6.241573882900219,0.017659055141209575,1.3613366673918965
66.0,-0.9690257023119416,4.479394732800728,42.69287263271091,6.5339783159045535,0.018559368088027026,1.4220006692173073
72.0,-0.9621102417067474,4.6703056605353686,46.972110089764364,6.853620217794707,0.01930864732030625,1.5112831193484548
78.0,-0.9752598843311914,4.824479310362974,51.37636485662647,7.167730802466459,0.019955946026643107,1.5455783320240657
84.0,-0.9616205958666437,4.984072206599399,57.47897458828617,7.581488942700251,0.02067760325871424,1.5812314299484198
90.0,-0.8553584836247927,5.1907814149396145,64.58271615904567,8.036337235273646,0.02157430078043332,1.679044434452751
96.0,-0.6788370064892212,5.41736929264742,72.79873673567751,8.532217574328348,0.022534226198468395,1.7728120786834038
102.0,-0.5439817709313662,5.615088707573023,81.4228950155104,9.023463581990587,0.023403498331046418,1.7629452526797418
108.0,-0.4721057623021772,5.791690567330432,91.2093066008996,9.550356359890431,0.024202775649674824,1.7604305097115813
114.0,-0.33966252832851607,6.0093321302063,102.0518655402533,10.102072338894297,0.025136713730488404,1.8325462741937104
120.0,-0.059034636774898674,6.260971267258854,112.9434581871608,10.62748597680377,0.026171640601400276,1.9543295079098553
