forecast_period,forecast_bias,mae,mse,rmse,mape,mase
0.0,0.11255596690328704,3.4043561778610347,22.029083018809636,4.693514996120673,0.014050395921443089,inf
6.0,0.05660760644876846,3.253281080360143,20.527661871647336,4.530746281976882,0.013448410247442416,2.943223401876535
12.0,0.006191914356578644,3.3397187842308473,21.592893297075975,4.646815393048875,0.013768028136782075,2.015354000656933
18.0,-0.06359186254486131,3.364172840696234,21.776143227912936,4.666491533037742,0.013841279444199672,1.716912003418774
24.0,-0.3062625591437204,3.38148391368002,22.422752947762124,4.735266935217288,0.013941008803819445,1.539841780053449
30.0,-0.5630130120087313,3.4771757884030885,25.231083373504948,5.023055183203241,0.014390084477958295,1.3554713817597845
36.0,-0.7673476084503398,3.7662569451759897,30.608727126175417,5.532515442922453,0.015560105212001522,1.3513124616246948
42.0,-0.9254281409840691,4.0407683649830455,35.9104306193892,5.992531236413307,0.01667075405554869,1.4102638051155743
48.0,-1.1695305070299113,4.215188555192942,41.365006240595456,6.431563281240064,0.017412894721057334,1.4304611723891545
54.0,-1.4203012855207529,4.412494373009842,46.582050313200696,6.825104417750742,0.0182657585700259,1.411491313025576
60.0,-1.665775153671608,4.791511782919394,55.5208691435692,7.4512327264399145,0.01984477513178822,1.4666050670391668
66.0,-1.8169329500833964,5.143627046462129,64.47492697384448,8.029628071949814,0.02127603708830138,1.5740672484632954
72.0,-2.007420345840648,5.381147506384255,71.26432412006717,8.44181995307097,0.02224835666793079,1.6787670448945118
78.0,-2.2134863079411136,5.622131844473904,79.38748875881834,8.909965699082031,0.023262266685748594,1.7437748691787576
84.0,-2.3830795380720518,6.005867491828932,89.90070023240862,9.481597978843473,0.0248306949197055,1.8273817037287687
90.0,-2.4743884458578345,6.381391675134027,101.7851918726824,10.08886474647581,0.02638081701123153,1.9224332926460277
96.0,-2.587056435669304,6.636222600301864,113.25745986430701,10.642248816124674,0.027488156524492074,2.0126242404717973
102.0,-2.6854705081401944,6.851857190797154,123.85439147224851,11.128988789294763,0.028444313085281933,2.0354360990818927
108.0,-2.7085977174680376,7.137413042654735,135.05355455555699,11.621254431237489,0.029639825779095873,2.112138685829016
114.0,-2.6705970852646073,7.432901016859889,147.70871301670581,12.153547342924444,0.030878237514305757,2.2020901038458054
120.0,-2.6635270938764077,7.675825049233358,161.26278939626877,12.698928671201708,0.03193305852895917,2.3034278380213937
