Alt / Lat,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80
0,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25
20000,43.32,46.49,49.93,52.81,54.8,55.74,56.24,56.24,56.27,56.41,56.41,56.33,56.07,55.74,55.57,55.57,55.63
25000,17.93,19.93,22.17,23.99,25.12,25.53,25.65,25.58,25.51,25.63,25.76,25.82,25.81,25.86,26.01,26.26,26.51
30000,7.5,8.45,9.69,10.84,11.64,12,12.13,12.12,12.08,12.12,12.23,12.25,12.2,12.23,12.34,12.52,12.7
35000,3.376,3.774,4.309,4.932,5.478,5.776,5.934,5.984,5.97,5.979,6.024,6.036,6.005,6.021,6.09,6.195,6.276
40000,1.609,1.786,2.019,2.332,2.666,2.885,3.015,3.07,3.07,3.072,3.085,3.095,3.098,3.11,3.145,3.202,3.237
45000,0.808,0.892,0.999,1.158,1.355,1.494,1.584,1.616,1.62,1.62,1.629,1.64,1.655,1.665,1.685,1.717,1.738
50000,0.42,0.462,0.511,0.591,0.703,0.787,0.842,0.862,0.863,0.865,0.871,0.881,0.893,0.902,0.916,0.936,0.95
