Alt / Lat,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80
0,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25
20000,37.4,41.21,46.93,52.18,55.35,56.41,56.86,56.92,56.67,56.72,57.09,57.32,57.21,56.52,55.74,54.99,54.36
25000,15.86,17.86,20.96,24.04,25.68,25.96,25.96,25.86,25.64,25.7,25.94,26.21,26.33,26.17,25.91,25.59,25.3
30000,7.3,8.27,9.72,11.24,12.07,12.25,12.23,12.17,12.06,12.08,12.2,12.33,12.39,12.3,12.17,11.98,11.81
35000,3.712,4.167,4.767,5.391,5.782,5.937,5.982,5.973,5.913,5.916,5.964,5.996,6.017,5.97,5.887,5.747,5.633
40000,1.981,2.193,2.444,2.69,2.877,2.982,3.049,3.058,3.024,3.017,3.027,3.027,3.03,3.003,2.944,2.844,2.77
45000,1.072,1.173,1.282,1.387,1.481,1.554,1.606,1.617,1.6,1.591,1.588,1.58,1.58,1.563,1.521,1.456,1.41
50000,0.585,0.629,0.675,0.723,0.776,0.822,0.858,0.866,0.857,0.851,0.846,0.839,0.837,0.826,0.801,0.763,0.737
