Alt / Lat,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80
0,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25
20000,49.34,51.22,53.45,55.02,56.13,56.44,56.58,56.07,55.85,55.99,55.91,55.49,54.53,52.89,51.15,49.41,48.02
25000,23.94,24.73,25.45,25.83,25.96,25.83,25.7,25.41,25.26,25.33,25.37,25.22,24.82,24.05,23.05,21.97,21.02
30000,11.78,12.12,12.33,12.33,12.25,12.18,12.11,11.96,11.9,11.94,11.93,11.77,11.42,10.9,10.26,9.58,9
35000,6.066,6.185,6.207,6.118,6.024,5.987,5.97,5.901,5.881,5.895,5.84,5.676,5.401,5.034,4.654,4.272,3.942
40000,3.247,3.286,3.26,3.187,3.123,3.087,3.076,3.042,3.032,3.033,2.982,2.855,2.661,2.423,2.209,1.999,1.829
45000,1.782,1.792,1.762,1.716,1.676,1.647,1.635,1.612,1.603,1.603,1.574,1.49,1.366,1.223,1.101,0.996,0.911
50000,0.986,0.984,0.962,0.933,0.909,0.891,0.879,0.862,0.856,0.855,0.839,0.789,0.716,0.633,0.568,0.516,0.475
