Alt / Lat,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80
0,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25
20000,50.84,52.36,53.93,55.46,56.58,56.69,56.47,55.99,55.79,55.93,55.68,55.13,54.2,52.94,51.5,49.93,48.51
25000,23.73,24.41,25.17,25.77,26.09,25.94,25.65,25.35,25.2,25.22,25.2,25.06,24.8,24.32,23.68,22.9,22.19
30000,11.07,11.42,11.85,12.17,12.34,12.26,12.12,11.96,11.87,11.88,11.85,11.78,11.55,11.24,10.92,10.6,10.32
35000,5.3,5.5,5.741,5.922,6.024,6.002,5.952,5.878,5.834,5.84,5.828,5.756,5.583,5.361,5.174,5.024,4.912
40000,2.629,2.736,2.883,2.999,3.061,3.056,3.046,3.023,3.008,3.011,2.991,2.935,2.831,2.688,2.559,2.462,2.396
45000,1.351,1.412,1.497,1.572,1.609,1.607,1.611,1.607,1.605,1.604,1.588,1.548,1.485,1.4,1.319,1.254,1.21
50000,0.711,0.744,0.793,0.836,0.858,0.857,0.863,0.866,0.867,0.865,0.854,0.826,0.79,0.739,0.693,0.655,0.63
