Alt / Lat,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80
0,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25,1013.25
20000,55.63,55.71,55.91,56.33,56.69,56.78,56.52,56.13,55.93,55.96,55.68,54.99,53.82,51.87,49.44,46.86,44.87
25000,27,26.9,26.75,26.54,26.28,25.95,25.6,25.28,25.12,25.16,25.12,24.97,24.62,23.72,22.35,20.71,19.35
30000,13.26,13.18,13.11,12.88,12.6,12.31,12.03,11.84,11.74,11.78,11.77,11.73,11.54,11.06,10.3,9.37,8.61
35000,6.791,6.737,6.677,6.509,6.288,6.081,5.892,5.776,5.724,5.747,5.735,5.69,5.572,5.313,4.932,4.473,4.099
40000,3.624,3.579,3.524,3.41,3.266,3.127,3.006,2.935,2.912,2.922,2.914,2.872,2.786,2.636,2.447,2.224,2.037
45000,1.989,1.956,1.913,1.835,1.747,1.658,1.584,1.537,1.525,1.531,1.531,1.503,1.443,1.345,1.244,1.13,1.033
50000,1.107,1.081,1.049,0.998,0.942,0.89,0.847,0.818,0.812,0.816,0.817,0.797,0.757,0.695,0.64,0.582,0.531
