forecast_period,forecast_bias,mae,mse,rmse,mape,mase
0.0,0.9130376344086021,15.843832138590201,732.5259672441259,27.065216925864938,,inf
6.0,-0.1025084449834588,14.236924029552652,564.9699808678283,23.76909718243056,,1.7875955230353893
12.0,0.41692607851950075,14.490840368763717,586.1867537904234,24.21129393052803,,1.29630661066726
18.0,0.9572068560093338,15.093421501694333,627.4571607420282,25.049095008443484,,1.22357708611114
24.0,1.0300399998912873,15.496783137467483,670.1659520794212,25.88756365669472,,1.1386041324332996
30.0,1.5319079162126956,16.1232270224844,736.8552210633442,27.145077289691848,,1.0863776032645547
36.0,2.354699262535352,16.73691658425499,809.1330479597508,28.445264069081006,,1.1049836997137858
42.0,3.7541395031857827,17.57904508792605,894.6652749861703,29.910955768516832,,1.1679223329293669
48.0,4.512800340645416,18.180249174389942,954.3422900372632,30.89243095059473,,1.22670021152957
54.0,5.329832269985657,18.507600314381268,1000.632927329672,31.632782478461678,,1.2471132594529286
60.0,6.45850972131967,19.440878266613925,1085.5957906801182,32.948380698907165,,1.2860126972420425
66.0,6.618668205822111,19.914205192758224,1119.184781744106,33.454219191966,,1.2759567410836388
72.0,6.538262651064849,19.706011597682362,1078.6750883734715,32.843189375781876,,1.227817827074049
78.0,6.972123980743638,19.766211300977,1098.9820382401374,33.15089800050878,,1.2214024700797477
84.0,7.606821250487431,20.082388906704185,1164.7832483829025,34.12892099646431,,1.2579155561559285
90.0,7.433545135076102,20.30913342806593,1201.5923114770085,34.663991568730346,,1.2675225321967927
96.0,7.118322430807196,20.378088095262985,1198.4670427242572,34.61888274806478,,1.2934830038949134
102.0,7.020449197342596,20.42956308411688,1213.3082712348307,34.83257485795201,,1.2777298371060883
108.0,7.456805546366767,21.019337234965406,1279.8804248313106,35.77541648718168,,1.330548664905523
114.0,7.637537212461743,21.73361003715787,1366.684555999059,36.96869697458999,,1.4338808997388883
120.0,7.593458361732819,21.914900097398316,1388.3598546621508,37.26070121001685,,1.4330243493886328
