forecast_period,forecast_bias,mae,mse,rmse,mape,mase
0.0,1.9512424817842018,16.50231870894121,753.2659873115633,27.445691598346784,,inf
6.0,0.8265945035646934,14.809029146699205,590.0647227680059,24.291247863541425,,1.8594293365750227
12.0,1.3491049808521083,14.967854194826705,605.3199191884856,24.603250175301753,,1.3389788201712758
18.0,1.857061801442606,15.247600002899672,622.2395983377689,24.944730873227897,,1.2360758612380807
24.0,1.9077202624489573,15.487832856842518,647.2772773416699,25.441644548685723,,1.1379465232756039
30.0,2.3780288019594744,15.927024344219841,686.7230294168804,26.205400768102756,,1.0731575329231837
36.0,3.135597640972615,16.41489111638917,737.0037876722502,27.147813681257098,,1.0837233384582856
42.0,4.4312602043611955,17.1030348798583,797.9128329065458,28.247350900687056,,1.1362970114216289
48.0,5.112088020716325,17.58427512638446,838.2013060448277,28.951706444436528,,1.1864872593449367
54.0,5.816902704087909,17.834862064540165,864.2885772114132,29.39878530163131,,1.2017815699163834
60.0,6.8199986972956355,18.52167010711575,925.7660101972051,30.42640317548568,,1.2252071436908327
66.0,6.780569427932835,18.780953595405485,944.6553834084691,30.735246597489162,,1.2033462602238827
72.0,6.521996758547914,18.513294620802952,902.3929461431599,30.039855960759198,,1.1535034910853985
78.0,6.849854706150101,18.652905959118257,921.6010356606275,30.357882595145327,,1.152608614049683
84.0,7.42489500561886,18.97477466090095,963.6668123974655,31.042983303759087,,1.1885370974233282
90.0,7.186827160198028,19.15169923721361,983.6076323700318,31.36251954754324,,1.1952853822643943
96.0,6.820369221736168,19.094065308792935,979.3236214685504,31.294146760513385,,1.2119806743756454
102.0,6.677061357822934,19.12248028394196,995.7137160389223,31.55493172293235,,1.1959807225276127
108.0,7.062112636458598,19.495430137813734,1029.0827904192497,32.07932029235111,,1.2340835608497078
114.0,7.20726455373904,20.07855552118393,1093.8144403839774,33.072865620988715,,1.3246882228470025
120.0,7.11424077434151,20.05473941308128,1102.2667004308355,33.20040211248706,,1.3113876755934282
